GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dbtrade,com.chandan.dbtrade,DbtradeApplication,5,3,0,0,2,1,1,1,1,1
dbtrade,com.chandan.dbtrade.dto,TradeDto,30,33,0,0,15,12,8,6,8,6
dbtrade,com.chandan.dbtrade.job,JobScheduler,0,51,1,3,0,12,1,5,0,4
dbtrade,com.chandan.dbtrade.config,KafkaConsumerConfig,7,75,0,0,2,20,1,4,1,4
dbtrade,com.chandan.dbtrade.constant,TradeConstant,3,0,0,0,1,0,1,0,1,0
dbtrade,com.chandan.dbtrade.constant,ErrorConstantEnum,0,79,0,0,0,13,0,5,0,5
dbtrade,com.chandan.dbtrade.util,TradeValidator,0,88,1,9,0,20,1,9,0,5
dbtrade,com.chandan.dbtrade.exception,BusinessException,3,5,0,0,2,2,1,1,1,1
dbtrade,com.chandan.dbtrade.exception,SystemException,8,0,0,0,4,0,2,0,2,0
dbtrade,com.chandan.dbtrade.exception,TradeException,35,24,0,0,16,8,10,2,10,2
dbtrade,com.chandan.dbtrade.model,Trade,11,124,0,0,5,47,3,17,3,17
dbtrade,com.chandan.dbtrade.service,TradeServiceImpl,0,27,0,0,0,8,0,2,0,2
dbtrade,com.chandan.dbtrade.mq,TradeConsumer,55,7,0,0,12,2,1,2,1,2
